Contact Centre,Transaction Type,Unit Group,Call Type Code_NEW,Call Type Code_OLD,Assignment group,Call Type,Service Group,Verification Status,Dept/MOE & Call Type,Short Description-Call Type,Org. Unit,Org. Unit Name,Priority,SLA Duration,SLA Unit,RULEGUID,Operating Hours,Paid Service ,Quotation ,"OLA 
Still awaiting",Escalation,Reminder,Contract,MANDATORY Forms / Supporting documents,Additional information,,,
Water Contact,Service Request,Joburg Water Forcelink,10134,C210,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:STAINED WASHING-INVESTIGATIO,STAINED WASHING,60000042,JOHANNESBURG WATER,P5,336,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10135,C220,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:BITS IN WATER-INVESTIGATION,BITS IN WATER,60000042,JOHANNESBURG WATER,P5,336,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10136,C230,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:TASTE-INVESTIGATE,TASTE-INVESTIGATE,60000042,JOHANNESBURG WATER,P5,336,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10137,C240,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:ODOUR-INVESTIGATE,ODOUR-INVESTIGATE,60000042,JOHANNESBURG WATER,P5,336,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10138,C250,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:COLOUR OF WATER,COLOUR OF WATER,60000042,JOHANNESBURG WATER,P5,336,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10139,C260,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:ANIMALS IN WATER-INVESTIGATE,ANIMALS IN WATER,60000042,JOHANNESBURG WATER,P5,336,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10140,C270,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:ILLNESS COMPLAINT-INVESTIGAT,ILLNESS COMPLAINT,60000042,JOHANNESBURG WATER,P5,336,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10141,C280,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:WHITE WATER (AERATED),WHITE WATER (AERATED),60000042,JOHANNESBURG WATER,P5,336,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10142,C290,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:QUALITY OTHER-INVESTIGATION,WATER QUALITY ,60000042,JOHANNESBURG WATER,P5,336,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10143,NB1,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:CHANGE TO BIGGER CONNECTION,CHANGE TO BIGGER CONNECTION,60000042,JOHANNESBURG WATER,P5,336,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
